age,income,economic_status,employment,car_avail,bike_avail,pt_abo_avail,dist_group,main_mode,share
,2600 - 3000,,,,,,5000 - 10000,walk,0.00014688761137743425
,2600 - 3000,,,,,,10000 - 20000,bike,0.0007297529398405454
,2600 - 3000,,,,,,10000 - 20000,car,0.0043480691384510765
,2600 - 3000,,,,,,10000 - 20000,pt,0.0064139668957580815
,2600 - 3000,,,,,,10000 - 20000,ride,0.0007561441104438095
,2600 - 3000,,,,,,10000 - 20000,walk,4.129643578131873e-05
,2600 - 3000,,,,,,20000+,bike,7.575663124300254e-05
,2600 - 3000,,,,,,20000+,car,0.002054625813152185
,2600 - 3000,,,,,,20000+,pt,0.0020783945559327446
,2600 - 3000,,,,,,20000+,ride,0.00037719425231081435
,2600 - 3000,,,,,,20000+,walk,8.232158789514617e-06
,3000 - 3600,,,,,,0 - 1000,bike,0.005047405591037784
,3000 - 3600,,,,,,0 - 1000,car,0.0011352122449559516
,3000 - 3600,,,,,,0 - 1000,pt,0.00033272777792851203
,3000 - 3600,,,,,,0 - 1000,ride,0.0005144972668703102
,3000 - 3600,,,,,,0 - 1000,walk,0.0262335277178426
,3000 - 3600,,,,,,1000 - 2000,bike,0.005830855409162586
,3000 - 3600,,,,,,1000 - 2000,car,0.0027008573210507104
,3000 - 3600,,,,,,1000 - 2000,pt,0.0018961084062378546
,3000 - 3600,,,,,,1000 - 2000,ride,0.001276091087977852
,3000 - 3600,,,,,,1000 - 2000,walk,0.006813891301403424
,3000 - 3600,,,,,,2000 - 5000,bike,0.006775101378684258
,3000 - 3600,,,,,,2000 - 5000,car,0.006483144112316924
,3000 - 3600,,,,,,2000 - 5000,pt,0.007880032355711181
,3000 - 3600,,,,,,2000 - 5000,ride,0.0029981256362548096
,3000 - 3600,,,,,,2000 - 5000,walk,0.0015844945335384735
,3000 - 3600,,,,,,5000 - 10000,bike,0.003258057317522539
,3000 - 3600,,,,,,5000 - 10000,car,0.007259524622921011
,3000 - 3600,,,,,,5000 - 10000,pt,0.009132683765721633
,3000 - 3600,,,,,,5000 - 10000,ride,0.0021101207464436673
,3000 - 3600,,,,,,5000 - 10000,walk,0.00021477034828702496
,3000 - 3600,,,,,,10000 - 20000,bike,0.0008793649182361488
,3000 - 3600,,,,,,10000 - 20000,car,0.005359622298441573
,3000 - 3600,,,,,,10000 - 20000,pt,0.007992605851177633
,3000 - 3600,,,,,,10000 - 20000,ride,0.0010075116058614508
,3000 - 3600,,,,,,10000 - 20000,walk,3.715133502190691e-05
,3000 - 3600,,,,,,20000+,bike,3.864665093487742e-05
,3000 - 3600,,,,,,20000+,car,0.003127244180749633
,3000 - 3600,,,,,,20000+,pt,0.002953911985680946
,3000 - 3600,,,,,,20000+,ride,0.0004787409885176979
,3000 - 3600,,,,,,20000+,walk,4.228094193517067e-05
,3600 - 4600,,,,,,0 - 1000,bike,0.007146309031588047
,3600 - 4600,,,,,,0 - 1000,car,0.0015229287022055407
,3600 - 4600,,,,,,0 - 1000,pt,0.0003253808489507266
,3600 - 4600,,,,,,0 - 1000,ride,0.0006398488134865594
,3600 - 4600,,,,,,0 - 1000,walk,0.03297491846551036
,3600 - 4600,,,,,,1000 - 2000,bike,0.0077555808818918414
,3600 - 4600,,,,,,1000 - 2000,car,0.0037044395043078176
,3600 - 4600,,,,,,1000 - 2000,pt,0.002434884174048942
,3600 - 4600,,,,,,1000 - 2000,ride,0.0020357652763356355
,3600 - 4600,,,,,,1000 - 2000,walk,0.006919201918318882
